Task Name,Task ID,Subtask IDs,Description Content,Task Assignee,Status,Start Date,Due Date,Date Created,Priority,Tags,Time Estimate,Time Tracked,Subtask Names,Task Type,List (ClickUp),Sprint
Verify & Test: refactor: unify search pipeline into SearchEngine class,SPR-17-S2,,Functional verification and unit testing for refactor: unify search pipeline into SearchEngine class,amirhossein,Done,2025-08-18 00:00:00,2025-08-19 00:00:00,2025-08-16 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 17
Implement: perf: use module singletons for NLP objects,SPR-17-S3,,Primary implementation of perf: use module singletons for NLP objects (Hash: 292866f7dac32e2f5c46b7c398fa31157c48c2a3),erfan,Done,2025-08-19 00:00:00,2025-08-20 00:00:00,2025-08-17 00:00:00,Normal,nlp,4h,4h,,Feature,Engineering,Sprint 17
Verify & Test: perf: use module singletons for NLP objects,SPR-17-S4,,Functional verification and unit testing for perf: use module singletons for NLP objects,erfan,Done,2025-08-19 00:00:00,2025-08-20 00:00:00,2025-08-17 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 17
Sprint 18 Engineering Work,SPR-18,"SPR-18-S1, SPR-18-S2, SPR-18-S3, SPR-18-S4",Consolidated development and testing for Sprint 18,"mobina, saeid",Done,2025-09-01 00:00:00,2025-09-13 00:00:00,2025-08-25 00:00:00,High,sprint,16h,16h,"Implement: feat: add user profile reload endpoint, Verify & Test: feat: add user profile reload endpoint, Implement: chore: add Dockerfile and basic setup, Verify & Test: chore: add Dockerfile and basic setup",Feature,Engineering,Sprint 18
Implement: feat: add user profile reload endpoint,SPR-18-S1,,Primary implementation of feat: add user profile reload endpoint (Hash: a546a1d02b249efb2558c19294afa973d5cf4771),saeid,Done,2025-09-01 00:00:00,2025-09-02 00:00:00,2025-08-30 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 18
Verify & Test: feat: add user profile reload endpoint,SPR-18-S2,,Functional verification and unit testing for feat: add user profile reload endpoint,saeid,Done,2025-09-01 00:00:00,2025-09-02 00:00:00,2025-08-30 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 18
Implement: chore: add Dockerfile and basic setup,SPR-18-S3,,Primary implementation of chore: add Dockerfile and basic setup (Hash: de39e61f088780ae8eae1be53527f61e72566548),mobina,Done,2025-09-02 00:00:00,2025-09-03 00:00:00,2025-08-31 00:00:00,Normal,devops,4h,4h,,Feature,Engineering,Sprint 18
Verify & Test: chore: add Dockerfile and basic setup,SPR-18-S4,,Functional verification and unit testing for chore: add Dockerfile and basic setup,mobina,Done,2025-09-02 00:00:00,2025-09-03 00:00:00,2025-08-31 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 18
Sprint 19 Engineering Work,SPR-19,"SPR-19-S1, SPR-19-S2, SPR-19-S3, SPR-19-S4",Consolidated development and testing for Sprint 19,"amirhossein, fatemeh",Done,2025-09-15 00:00:00,2025-09-27 00:00:00,2025-09-08 00:00:00,High,sprint,16h,16h,"Implement: fix: improve image captioning prompts for e-commerce, Verify & Test: fix: improve image captioning prompts for e-commerce, Implement: feat: add intent classification (PRECISE/DESCRIPTIVE), Verify & Test: feat: add intent classification (PRECISE/DESCRIPTIVE)",Feature,Engineering,Sprint 19
Implement: fix: improve image captioning prompts for e-commerce,SPR-19-S1,,Primary implementation of fix: improve image captioning prompts for e-commerce (Hash: 0c9510d5523d48511450e650e3cf6a76cc7b3c29),fatemeh,Done,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-09-13 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 19
Verify & Test: fix: improve image captioning prompts for e-commerce,SPR-19-S2,,Functional verification and unit testing for fix: improve image captioning prompts for e-commerce,fatemeh,Done,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-09-13 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 19
Implement: feat: add intent classification (PRECISE/DESCRIPTIVE),SPR-19-S3,,Primary implementation of feat: add intent classification (PRECISE/DESCRIPTIVE) (Hash: 9c30e8cafe1ecfd6f3ab99b96ca2bd73f39827de),amirhossein,Done,2025-09-16 00:00:00,2025-09-17 00:00:00,2025-09-14 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 19
Verify & Test: feat: add intent classification (PRECISE/DESCRIPTIVE),SPR-19-S4,,Functional verification and unit testing for feat: add intent classification (PRECISE/DESCRIPTIVE),amirhossein,Done,2025-09-16 00:00:00,2025-09-17 00:00:00,2025-09-14 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 19
Sprint 20 Engineering Work,SPR-20,"SPR-20-S1, SPR-20-S2",Consolidated development and testing for Sprint 20,erfan,Done,2025-09-29 00:00:00,2025-10-11 00:00:00,2025-09-22 00:00:00,High,sprint,8h,8h,"Implement: test: add unit tests for NLP preprocessing, Verify & Test: test: add unit tests for NLP preprocessing",Feature,Engineering,Sprint 20
Implement: test: add unit tests for NLP preprocessing,SPR-20-S1,,Primary implementation of test: add unit tests for NLP preprocessing (Hash: 3de1409acb7ecaf5c5f6b9364c6c3c53b36d5eff),erfan,Done,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-09-27 00:00:00,Normal,nlp,4h,4h,,Hotfix,Engineering,Sprint 20
Verify & Test: test: add unit tests for NLP preprocessing,SPR-20-S2,,Functional verification and unit testing for test: add unit tests for NLP preprocessing,erfan,Done,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-09-27 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 20
Sprint 21 Engineering Work,SPR-21,"SPR-21-S1, SPR-21-S2",Consolidated development and testing for Sprint 21,mobina,Done,2025-10-13 00:00:00,2025-10-25 00:00:00,2025-10-06 00:00:00,High,sprint,8h,8h,"Implement: chore: finalize docker-compose and production deployment, Verify & Test: chore: finalize docker-compose and production deployment",Feature,Engineering,Sprint 21
Implement: chore: finalize docker-compose and production deployment,SPR-21-S1,,Primary implementation of chore: finalize docker-compose and production deployment (Hash: ad9951d556f137daa702083a4e453ab22f1584b8),mobina,Done,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-11 00:00:00,Normal,devops,4h,4h,,Hotfix,Engineering,Sprint 21
Verify & Test: chore: finalize docker-compose and production deployment,SPR-21-S2,,Functional verification and unit testing for chore: finalize docker-compose and production deployment,mobina,Done,2025-10-13 00:00:00,2025-10-14 00:00:00,2025-10-11 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 21
Sprint 22 Engineering Work,SPR-22,"SPR-22-S1, SPR-22-S2",Consolidated development and testing for Sprint 22,amirhossein,Done,2025-10-27 00:00:00,2025-11-08 00:00:00,2025-10-20 00:00:00,High,sprint,8h,8h,"Implement: docs: update README with full modular structure and instructions, Verify & Test: docs: update README with full modular structure and instructions",Feature,Engineering,Sprint 22
Implement: docs: update README with full modular structure and instructions,SPR-22-S1,,Primary implementation of docs: update README with full modular structure and instructions (Hash: 094b93a028b99846ec10977d08a40f2c9a16b63b),amirhossein,Done,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-10-25 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 22
Verify & Test: docs: update README with full modular structure and instructions,SPR-22-S2,,Functional verification and unit testing for docs: update README with full modular structure and instructions,amirhossein,Done,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-10-25 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 22
Sprint 23 Engineering Work,SPR-23,"SPR-23-S1, SPR-23-S2",Consolidated development and testing for Sprint 23,mobina,Done,2025-11-10 00:00:00,2025-11-22 00:00:00,2025-11-03 00:00:00,High,sprint,8h,8h,"Implement: chore: merge development cycle 2025-2026 into main, Verify & Test: chore: merge development cycle 2025-2026 into main",Feature,Engineering,Sprint 23
Implement: chore: merge development cycle 2025-2026 into main,SPR-23-S1,,Primary implementation of chore: merge development cycle 2025-2026 into main (Hash: 1c7c8e411162bbaac1be94760b0677bcf4757793),mobina,Done,2025-11-10 00:00:00,2025-11-11 00:00:00,2025-11-08 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 23
Verify & Test: chore: merge development cycle 2025-2026 into main,SPR-23-S2,,Functional verification and unit testing for chore: merge development cycle 2025-2026 into main,mobina,Done,2025-11-10 00:00:00,2025-11-11 00:00:00,2025-11-08 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 23
Sprint 24 Engineering Work,SPR-24,"SPR-24-S1, SPR-24-S2",Consolidated development and testing for Sprint 24,amirhossein,Done,2025-11-24 00:00:00,2025-12-06 00:00:00,2025-11-17 00:00:00,High,sprint,8h,8h,"Implement: chore: final project structure sync, Verify & Test: chore: final project structure sync",Feature,Engineering,Sprint 24
Implement: chore: final project structure sync,SPR-24-S1,,Primary implementation of chore: final project structure sync (Hash: dbbb42373d11ce219178eafbf8859169bc148ac2),amirhossein,Done,2025-11-24 00:00:00,2025-11-25 00:00:00,2025-11-22 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 24
Verify & Test: chore: final project structure sync,SPR-24-S2,,Functional verification and unit testing for chore: final project structure sync,amirhossein,Done,2025-11-24 00:00:00,2025-11-25 00:00:00,2025-11-22 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 24
